,Unnamed: 0_x,person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,Unnamed: 0_y,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year,pred_lr,pred_dt
5414,1837,1137620,936294,misdemeanor,property,2019-09-22,845,3130830,33.10958904109589,M,Black,2018-08-24,0,0.0,0,0,0
1143,4193,35320,10808091,misdemeanor,property,2013-02-07,544,3607980,24.339726027397266,M,Black,2018-06-13,0,0.0,2,0,0
1497,1561,50867,8270915,felony,drug,2015-06-10,944,5473408,20.72876712328767,M,Black,2017-07-21,0,0.0,1,0,0
2332,5595,74726,4255875,misdemeanor,drug,2018-03-01,887,3646741,26.556164383561644,M,Black,2018-06-06,0,0.0,0,0,0
4959,2375,1052139,7963881,misdemeanor,property,2015-09-11,891,6537189,48.367123287671234,M,White,2016-10-14,0,0.0,0,0,0
569,2878,21406,5232393,misdemeanor,property,2017-09-07,450,5590253,19.052054794520547,M,White,2017-06-26,0,0.0,0,0,0
5716,5821,1354979,10824059,misdemeanor,drug,2013-02-01,509,7473272,34.85479452054795,F,White,2016-02-11,0,0.0,0,0,0
1682,1604,56410,5565948,misdemeanor,violent,2017-07-01,741,4937826,33.4027397260274,M,Black,2017-10-27,0,0.0,0,0,0
3544,4800,259056,3479642,misdemeanor,property,2018-07-06,59,4219078,40.772602739726025,M,Black,2018-03-08,0,0.0,1,0,0
2588,1478,80568,7916568,misdemeanor,violent,2015-09-27,27,6577689,38.68219178082192,M,Black,2016-10-01,0,0.0,1,0,0
1948,391,65316,704333,felony,violent,2019-11-08,429,6863214,36.42739726027397,M,Black,2016-07-08,0,0.0,1,0,0
5912,5716,1602754,7703302,misdemeanor,other,2015-12-02,866,7539079,32.87123287671233,F,Black,2016-01-21,0,0.0,0,0,0
935,3876,27785,6511575,misdemeanor,property,2016-10-21,69,4280859,19.4,M,Black,2018-02-26,0,0.0,1,0,0
1631,2266,55857,9049238,felony,property,2014-09-18,434,6102845,27.07945205479452,F,White,2017-02-17,1,0.0,0,0,0
3788,283,339988,7999582,misdemeanor,property,2015-09-01,139,5998375,56.57534246575342,M,,2017-03-17,0,0.0,0,0,0
1696,2039,56410,2714417,misdemeanor,property,2018-11-10,741,4937826,33.4027397260274,M,Black,2017-10-27,0,0.0,0,0,0
4218,3935,670782,2872315,felony,violent,2018-10-12,105,7255049,25.084931506849315,M,Black,2016-04-10,1,1.0,1,0,0
5842,1792,1516499,4469015,felony,property,2018-01-22,39,4469015,63.25479452054795,M,White,2018-01-22,0,0.0,1,0,0
3477,6038,243409,5175054,misdemeanor,other,2017-09-15,639,5142809,30.34794520547945,M,Black,2017-09-21,0,0.0,0,0,0
4820,632,997983,7587118,felony,property,2016-01-07,125,7587118,42.21917808219178,M,White,2016-01-07,0,0.0,0,0,0
2548,3092,79198,8553916,felony,property,2015-03-11,813,3433327,28.265753424657536,M,White,2018-07-15,0,0.0,2,0,0
487,2700,15353,2444795,misdemeanor,property,2019-01-04,560,3039691,34.391780821917806,F,White,2018-09-11,0,0.0,3,0,0
4503,1072,910635,10965921,felony,other,2012-12-07,841,4973877,61.01643835616439,M,Black,2017-10-22,0,0.0,0,0,0
3903,2210,349867,6599157,misdemeanor,drug,2016-09-24,676,6357251,23.82191780821918,F,White,2016-12-09,0,0.0,0,0,0
4598,5050,921658,4564410,misdemeanor,drug,2018-01-02,143,4564410,24.813698630136987,M,Black,2018-01-02,0,0.0,0,0,0
2037,514,66832,13658253,misdemeanor,property,2012-03-16,892,4100820,33.62465753424657,M,Black,2018-03-28,0,0.0,1,0,0
3870,4578,344219,429342,felony,other,2020-01-06,865,2471357,34.32876712328767,F,White,2018-12-29,1,1.0,0,0,0
1139,4138,35048,6328962,misdemeanor,violent,2016-12-16,122,3102607,34.986301369863014,M,mixed,2018-08-30,0,0.0,0,0,0
3792,366,339988,5998375,misdemeanor,other,2017-03-17,139,5998375,56.57534246575342,M,,2017-03-17,0,0.0,0,0,0
6267,5297,2740186,11306710,misdemeanor,other,2012-08-10,873,6485644,48.3013698630137,M,Black,2016-10-30,0,0.0,0,0,0
2943,5975,92254,10339800,misdemeanor,property,2013-07-21,413,4354694,25.13150684931507,M,Black,2018-02-11,0,0.0,0,0,0
4443,5805,884830,3249757,misdemeanor,drug,2018-07-31,469,3249757,26.75068493150685,M,Black,2018-07-31,0,0.0,0,0,0
2553,3192,79198,3433327,felony,property,2018-07-15,813,3433327,28.265753424657536,M,White,2018-07-15,1,0.0,2,0,0
4480,1000,909652,3672977,misdemeanor,property,2018-05-31,611,3672977,59.91232876712328,M,Black,2018-05-31,0,0.0,0,0,0
2060,4590,67140,1173769,felony,drug,2019-08-07,204,5670555,29.33150684931507,M,Black,2017-06-07,1,0.0,2,0,0
6152,2785,2293944,6303487,misdemeanor,property,2016-12-26,555,5847419,38.96712328767124,M,Other,2017-04-25,0,0.0,0,0,0
5596,2834,1302726,10458753,misdemeanor,property,2013-06-09,878,2950470,32.536986301369865,M,White,2018-09-27,0,0.0,2,0,0
2268,6079,72764,1617960,misdemeanor,property,2019-05-16,885,6163577,22.72054794520548,F,Black,2017-02-03,0,0.0,3,0,0
3282,3438,172713,9378467,misdemeanor,drug,2014-06-03,323,4874761,24.2054794520548,M,Black,2017-11-04,0,0.0,1,0,0
1953,1091,65316,10840965,felony,drug,2013-01-25,429,6863214,36.42739726027397,M,Black,2016-07-08,1,0.0,1,0,0
4258,4293,720250,10253021,misdemeanor,violent,2013-08-18,884,5705381,31.14246575342466,M,Black,2017-05-30,0,0.0,1,0,0
1215,2147,40790,924923,misdemeanor,other,2019-09-24,282,2793396,43.8054794520548,M,White,2018-10-27,0,0.0,0,0,0
5699,3995,1347952,4556922,misdemeanor,violent,2018-01-04,979,4556922,19.016438356164382,M,Black,2018-01-04,0,0.0,0,0,0
3712,6312,323098,3128023,misdemeanor,property,2018-08-25,127,5801992,31.42465753424657,M,Black,2017-05-07,0,0.0,0,0,0
883,4095,27382,9416943,misdemeanor,violent,2020-12-12,75,7381538,26.56438356164384,M,Black,2016-03-07,0,0.0,0,0,0
4580,1461,915957,10130160,misdemeanor,drug,2013-09-29,70,7206185,48.07671232876712,M,mixed,2016-04-21,0,0.0,0,0,0
945,2558,27836,10558463,felony,other,2013-05-06,576,6766557,36.69041095890411,M,White,2016-08-09,0,0.0,1,0,0
1334,2331,46101,8586311,misdemeanor,violent,2015-02-26,585,2788963,46.00547945205479,M,White,2018-10-29,0,0.0,0,0,0
45,1263,2743,3720813,misdemeanor,drug,2018-05-22,170,5728038,19.27123287671233,M,Black,2017-05-26,0,0.0,1,0,0
5746,139,1439871,6603878,misdemeanor,drug,2016-09-22,835,7030740,30.698630136986303,M,White,2016-05-20,0,0.0,0,0,0
1901,2183,63188,5325796,misdemeanor,violent,2020-09-10,990,5775746,18.78904109589041,M,Black,2017-05-14,0,0.0,0,0,0
4332,1685,780358,7838593,felony,drug,2015-10-20,660,4692540,32.16712328767123,M,White,2017-12-05,0,0.0,0,0,0
4355,5881,845123,5471332,misdemeanor,other,2017-07-23,241,5413918,46.97260273972603,M,Black,2017-08-03,0,0.0,0,0,0
2611,4419,81290,3013699,misdemeanor,other,2018-09-16,575,4524599,20.134246575342463,M,Black,2018-01-11,0,0.0,0,0,0
4730,915,971359,9385710,misdemeanor,property,2014-05-31,66,6234841,30.63287671232877,M,White,2017-01-15,0,0.0,0,0,0
266,4381,10071,8933556,misdemeanor,other,2014-10-29,967,5792197,21.95890410958904,M,Black,2017-05-09,0,0.0,1,0,0
5413,1835,1137620,2858793,misdemeanor,property,2018-10-15,845,3130830,33.10958904109589,M,Black,2018-08-24,0,0.0,0,0,0
1294,5075,44850,3228421,misdemeanor,drug,2018-08-03,258,3778372,22.284931506849315,M,Black,2018-05-11,0,0.0,0,0,0
4063,433,524218,7175419,misdemeanor,other,2016-04-30,962,7175419,30.676712328767124,M,White,2016-04-30,0,0.0,0,0,0
2551,3184,79198,3935936,felony,property,2018-04-16,813,3433327,28.265753424657536,M,White,2018-07-15,0,0.0,2,0,0
4515,4860,910635,9707317,misdemeanor,other,2014-02-18,841,4973877,61.01643835616439,M,Black,2017-10-22,0,0.0,0,0,0
3613,3679,311707,8874413,misdemeanor,property,2014-11-20,641,6106630,35.1945205479452,M,Black,2017-02-16,0,0.0,0,0,0
2167,2165,69593,9537396,misdemeanor,drug,2014-04-17,988,6166510,35.4,F,mixed,2017-02-03,0,0.0,0,0,0
671,2471,24916,5570754,felony,drug,2017-06-30,985,5675336,18.75068493150685,M,Black,2017-06-06,1,0.0,0,0,0
5909,2980,1602754,8628727,misdemeanor,property,2015-02-11,866,7539079,32.87123287671233,F,Black,2016-01-21,0,0.0,0,0,0
2333,5598,74726,3646741,misdemeanor,other,2018-06-06,887,3646741,26.556164383561644,M,Black,2018-06-06,0,0.0,0,0,0
1189,5252,38602,7787122,misdemeanor,other,2015-11-05,853,6235576,43.96986301369863,M,Black,2017-01-14,0,0.0,0,0,0
851,4254,27249,5019693,misdemeanor,property,2017-10-13,960,6478529,22.87945205479452,M,Black,2016-11-01,0,0.0,3,0,0
