,Unnamed: 0_x,person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,Unnamed: 0_y,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
3770,4625,336042,11119974,misdemeanor,other,2012-10-13,610,5170311,55.30684931506849,M,White,2017-09-15,0,0.0,0
3275,3718,162419,7017218,misdemeanor,property,2016-05-25,329,7017218,33.38082191780822,M,Black,2016-05-25,0,0.0,0
89,3079,3909,6374427,felony,property,2016-11-30,935,6370773,47.17260273972602,M,White,2016-12-01,0,0.0,3
4467,1027,909315,2609763,misdemeanor,violent,2018-12-02,410,4524392,22.035616438356165,M,Black,2018-01-11,0,0.0,0
3894,339,349867,8827711,misdemeanor,drug,2014-12-07,676,6357251,23.82191780821918,F,White,2016-12-09,0,0.0,0
6360,6283,3077859,6489288,misdemeanor,other,2016-10-28,305,6489288,21.63287671232877,M,Black,2016-10-28,0,0.0,0
5457,2303,1205282,9153014,misdemeanor,drug,2014-08-16,247,6223364,29.28767123287671,F,White,2017-01-18,0,0.0,0
4423,3218,883902,6973168,misdemeanor,drug,2016-06-08,439,7153262,20.334246575342465,M,Black,2016-05-07,0,0.0,0
2903,4073,91718,6174394,misdemeanor,property,2017-02-01,25,6028961,29.572602739726022,M,Black,2017-03-09,0,0.0,0
685,6044,25060,5682065,misdemeanor,property,2017-06-05,718,4796664,25.947945205479453,F,Black,2017-11-19,0,0.0,0
2445,2766,77608,6980558,misdemeanor,property,2016-06-06,934,4613060,36.35890410958904,F,White,2017-12-20,0,0.0,1
690,2601,25110,8531937,felony,violent,2015-03-17,449,3787339,22.95616438356164,M,Black,2018-05-10,1,0.0,2
2209,1713,71257,5350393,misdemeanor,property,2017-08-15,630,2922536,33.32054794520548,M,Black,2018-10-02,0,0.0,0
3727,4656,327163,4376143,misdemeanor,other,2018-02-06,916,4612031,33.221917808219175,M,White,2017-12-20,0,0.0,1
5417,1868,1137620,4955856,misdemeanor,property,2017-10-24,845,3130830,33.10958904109589,M,Black,2018-08-24,0,0.0,0
2244,1911,72764,5537995,misdemeanor,property,2017-07-07,885,6163577,22.72054794520548,F,Black,2017-02-03,0,0.0,3
4546,1094,911946,10274732,misdemeanor,violent,2013-08-10,727,6339294,31.46027397260274,M,Black,2016-12-13,0,0.0,0
5877,1436,1543625,4283852,misdemeanor,property,2018-02-25,441,4283852,56.85753424657534,M,Black,2018-02-25,0,0.0,0
1904,5313,63188,8865057,misdemeanor,drug,2020-11-25,990,5775746,18.78904109589041,M,Black,2017-05-14,0,0.0,0
363,6076,13592,2446919,misdemeanor,other,2019-01-04,821,7357500,33.413698630136984,M,Black,2016-03-13,0,0.0,5
3999,4709,442499,8206796,misdemeanor,drug,2015-06-30,7,5053285,29.23835616438356,M,White,2017-10-06,0,0.0,0
2565,3282,80009,6836128,felony,property,2016-07-18,312,6688760,32.86027397260274,M,,2016-08-30,1,0.0,2
2827,1975,85806,7584216,felony,violent,2016-01-08,14,6816869,30.0986301369863,M,White,2016-07-23,0,0.0,0
2915,6207,91724,5143947,misdemeanor,other,2017-09-21,618,5143947,29.24109589041096,M,Black,2017-09-21,0,0.0,0
455,5768,15340,749519,misdemeanor,other,2019-10-30,237,5697246,39.5972602739726,M,White,2017-05-31,0,0.0,0
